VAR1,VAR2,VAR3
3.508970939,11.35535395,6.94684863
3.898856599,11.66434318,9.568300944
3.898856599,9.964902449,8.257574787
4.288742259,9.964902449,6.553630783
5.458399239,11.27810665,8.388647403
3.898856599,10.5828809,8.78186525
3.898856599,9.810407837,9.699373559
1.16965698,8.806192862,8.519720018
3.898856599,9.501418614,7.995429556
3.119085279,10.35113898,6.291485552
4.678627919,10.27389167,8.388647403
5.068513579,11.58709587,9.961518791
4.678627919,11.12361204,8.126502171
4.678627919,9.964902449,9.306155712
1.55954264,8.65169825,6.94684863
3.898856599,9.964902449,8.78186525
4.678627919,9.964902449,7.208993862
3.508970939,12.35956893,9.437228328
4.678627919,10.42838628,9.961518791
5.068513579,11.74159048,7.077921246
4.288742259,10.11939706,9.699373559
4.678627919,10.96911742,9.437228328
3.898856599,11.35535395,9.306155712
5.068513579,11.35535395,8.126502171
3.508970939,11.9733324,7.340066477
2.339313959,10.5828809,8.912937865
3.898856599,10.6601282,6.553630783
3.508970939,11.27810665,7.995429556
4.678627919,9.57866592,7.471139093
4.288742259,10.81462281,5.767195089
3.508970939,10.35113898,9.175083097
1.9494283,9.810407837,6.684703399
2.729199619,11.43260126,7.340066477
5.068513579,11.9733324,9.306155712
5.458399239,9.733160532,8.650792634
2.729199619,9.810407837,7.995429556
5.848284899,10.11939706,9.830446175
4.678627919,9.964902449,8.257574787
3.119085279,11.66434318,8.650792634
5.068513579,13.67277313,8.257574787
4.288742259,9.810407837,7.733284324
3.508970939,11.66434318,7.602211709
3.508970939,10.89187012,9.306155712
3.898856599,10.5828809,7.340066477
4.288742259,9.424171308,7.471139093
5.458399239,10.6601282,7.602211709
4.678627919,10.89187012,9.568300944
3.508970939,11.50984857,7.733284324
2.729199619,10.42838628,7.733284324
4.678627919,10.11939706,7.208993862
4.678627919,10.42838628,7.602211709
3.119085279,9.887655143,8.257574787
0.38988566,8.728945556,6.684703399
4.288742259,9.810407837,9.306155712
4.288742259,10.81462281,7.471139093
5.848284899,11.27810665,8.78186525
5.068513579,10.89187012,8.78186525
4.678627919,10.04214975,8.650792634
5.068513579,13.05479468,10.35473664
4.288742259,11.89608509,8.912937865
3.508970939,10.11939706,8.257574787
3.119085279,11.50984857,8.257574787
4.678627919,11.74159048,7.995429556
3.508970939,10.19664437,7.995429556
4.678627919,10.04214975,7.995429556
2.339313959,11.74159048,8.912937865
4.288742259,9.964902449,8.78186525
3.898856599,11.04636473,10.35473664
4.678627919,10.96911742,8.257574787
5.848284899,13.75002043,9.830446175
3.898856599,10.50563359,7.86435694
3.508970939,10.42838628,8.912937865
3.508970939,10.73737551,6.422558168
5.068513579,11.27810665,7.208993862
4.288742259,10.89187012,9.699373559
6.238170558,11.89608509,10.09259141
3.898856599,10.42838628,8.912937865
4.678627919,9.887655143,8.126502171
4.678627919,12.43681623,9.437228328
4.678627919,11.9733324,8.388647403
3.508970939,10.6601282,9.175083097
3.508970939,11.43260126,9.568300944
5.848284899,11.04636473,7.995429556
4.678627919,10.11939706,9.306155712
3.508970939,10.19664437,9.437228328
5.068513579,9.269676697,6.553630783
4.288742259,10.6601282,9.044010481
3.898856599,11.9733324,9.699373559
3.508970939,9.192429391,8.257574787
4.288742259,10.81462281,8.126502171
5.458399239,10.73737551,7.602211709
3.508970939,11.89608509,7.340066477
4.678627919,11.04636473,8.912937865
3.119085279,9.964902449,8.388647403
4.288742259,10.19664437,7.733284324
3.508970939,9.655913226,7.208993862
4.288742259,10.89187012,8.650792634
2.339313959,9.810407837,8.388647403
4.678627919,11.9733324,9.568300944
3.508970939,11.43260126,10.22366402
6.628056218,10.5828809,8.78186525
4.288742259,10.50563359,9.830446175
3.119085279,9.733160532,7.340066477
3.508970939,9.192429391,7.602211709
1.9494283,11.50984857,7.86435694
4.678627919,11.04636473,8.257574787
3.898856599,12.28232162,8.912937865
4.678627919,12.05057971,9.175083097
3.898856599,10.81462281,7.471139093
3.508970939,10.50563359,9.044010481
5.848284899,11.12361204,9.830446175
3.119085279,11.66434318,9.437228328
3.898856599,9.269676697,8.388647403
2.729199619,12.05057971,8.388647403
6.628056218,7.956472498,6.94684863
3.508970939,11.20085934,8.257574787
3.898856599,9.810407837,7.995429556
5.068513579,10.73737551,7.86435694
5.068513579,13.51827852,10.8790271
4.288742259,10.27389167,8.78186525
4.678627919,11.58709587,9.306155712
3.119085279,11.43260126,8.78186525
4.288742259,10.6601282,10.35473664
4.288742259,13.59552582,8.78186525
6.238170558,9.810407837,9.306155712
4.288742259,10.27389167,8.78186525
2.339313959,11.04636473,8.126502171
4.288742259,8.960687474,7.733284324
4.288742259,9.733160532,7.471139093
2.729199619,9.733160532,7.208993862
5.068513579,10.5828809,6.815776015
4.288742259,9.810407837,8.126502171
5.068513579,12.35956893,9.830446175
2.729199619,9.964902449,7.602211709
3.898856599,10.50563359,10.09259141
5.068513579,11.58709587,9.044010481
4.288742259,10.35113898,7.077921246
3.508970939,10.35113898,7.995429556
5.068513579,11.04636473,8.650792634
4.288742259,11.58709587,8.388647403
4.288742259,10.11939706,9.306155712
5.068513579,10.96911742,9.175083097
4.678627919,10.73737551,9.306155712
4.288742259,9.346924003,7.733284324
4.288742259,10.5828809,8.257574787
3.119085279,9.192429391,7.471139093
4.288742259,11.43260126,8.388647403
3.508970939,10.89187012,8.388647403
4.678627919,10.42838628,7.208993862
4.678627919,10.5828809,9.699373559
