date,close
2016-05-25,1961
2016-05-24,1938
2016-05-23,1955
2016-05-20,1948
2016-05-19,1947
2016-05-18,1957
2016-05-17,1968
2016-05-16,1968
2016-05-13,1967
2016-05-12,1977
2016-05-11,1980
2016-05-10,1983
2016-05-09,1968
2016-05-04,1977
2016-05-03,1986
2016-05-02,1978
2016-04-29,1994
2016-04-28,2001
2016-04-27,2015
2016-04-26,2020
2016-04-25,2015
2016-04-22,2015
2016-04-21,2022
2016-04-20,2006
2016-04-19,2011
2016-04-18,2009
2016-04-15,2015
2016-04-14,2016
2016-04-12,1981
2016-04-11,1970
2016-04-08,1972
2016-04-07,1974
2016-04-06,1971
2016-04-05,1963
2016-04-04,1979
2016-04-01,1974
2016-03-31,1996
2016-03-30,2002
2016-03-29,1995
2016-03-28,1983
2016-03-25,1984
2016-03-24,1986
2016-03-23,1995
2016-03-22,1997
2016-03-21,1990
2016-03-18,1992
2016-03-17,1988
2016-03-16,1975
2016-03-15,1970
2016-03-14,1972
2016-03-11,1971
2016-03-10,1969
2016-03-09,1953
2016-03-08,1946
2016-03-07,1958
2016-03-04,1956
2016-03-03,1958
2016-03-02,1947
2016-02-29,1917
